Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
1,"Carey Price",MTL,G,223,66,9,0.933,1.99,44," "," "," "," "," "," "," "," "," "
2,"Alex Ovechkin",WSH,LW,165,81," "," "," "," ",53,28,10,395,11,34,0,259,2
3,"Braden Holtby",WSH,G,152,73,9,0.923,2.25,41," "," "," "," "," "," "," "," "," "
4,"Devan Dubnyk",MIN,G,138,59,6,0.929,2.07,36," "," "," "," "," "," "," "," "," "
5,"Jamie Benn",DAL,LW,131,82," "," "," "," ",35,52,1,253,6,23,5,120,298
6,"Max Pacioretty",MTL,LW,129,80," "," "," "," ",37,30,38,302,10,11,5,106,2
7,"Blake Wheeler",WPG,RW,119,79," "," "," "," ",26,35,26,244,6,12,5,128,22
8,"Erik Karlsson",OTT,D,112,82," "," "," "," ",21,45,7,292,3,30,0,93,0
9,"Marc-Andre Fleury",PIT,G,112,64,10,0.92,2.36,34," "," "," "," "," "," "," "," "," "
10,"John Tavares",NYI,C,110,82," "," "," "," ",38,48,5,278,8,31,1,48,753
11,"Rick Nash",NYR,LW,105,79," "," "," "," ",42,27,29,304,8,12,5,45,2
12,"Andrew Hammond",OTT,G,105,25,3,0.941,1.79,20," "," "," "," "," "," "," "," "," "
13,"Pekka Rinne",NSH,G,105,64,4,0.923,2.22,41," "," "," "," "," "," "," "," "," "
14,"Claude Giroux",PHI,C,97,81," "," "," "," ",25,48,-3,279,4,37,0,110,1063
15,"Jonathan Toews",CHI,C,91,81," "," "," "," ",28,38,30,192,7,17,3,56,947
16,"P.K. Subban",MTL,D,90,82," "," "," "," ",15,45,21,170,5,21,0,97,0
17,"Roman Josi",NSH,D,89,81," "," "," "," ",15,40,15,201,4,15,3,53,0
18,"Oliver Ekman-Larsson",ARI,D,85,82," "," "," "," ",23,20,-18,264,7,20,1,167,0
19,"Kris Letang",PIT,D,85,69," "," "," "," ",11,43,12,197,1,24,1,131,0
20,"Jonathan Quick",LAK,G,83,72,6,0.918,2.26,36," "," "," "," "," "," "," "," "," "
21,"Vladimir Tarasenko",STL,RW,83,77," "," "," "," ",37,36,27,264,6,18,0,32,0
22,"Jakub Voracek",PHI,RW,83,82," "," "," "," ",22,59,1,221,3,33,0,55,6
23,"Brent Burns",SJS,D,83,82," "," "," "," ",17,43,-9,245,2,24,0,148,0
24,"Justin Faulk",CAR,D,82,82," "," "," "," ",15,34,-19,238,4,20,2,157,0
25,"Dustin Byfuglien",WPG,D,81,69," "," "," "," ",18,27,5,209,3,17,1,203,0
26,"Shea Weber",NSH,D,80,78," "," "," "," ",15,30,15,237,2,15,1,166,0
27,"Joe Pavelski",SJS,C,77,82," "," "," "," ",37,33,12,261,5,31,0,97,642
28,"Sidney Crosby",PIT,C,77,77," "," "," "," ",28,56,5,237,3,31,0,66,797
29,"Radim Vrbata",VAN,RW,72,79," "," "," "," ",31,32,6,267,7,23,0,44,5
30,"Andrew Ladd",WPG,LW,71,81," "," "," "," ",24,38,9,224,6,19,1,212,7
31,"Nick Foligno",CBJ,LW,71,79," "," "," "," ",31,42,16,182,3,26,0,193,125
32,"Drew Doughty",LAK,D,71,82," "," "," "," ",7,39,3,219,2,17,1,152,0
33,"John Carlson",WSH,D,69,82," "," "," "," ",12,43,11,193,3,16,1,74,0
34,"Tomas Plekanec",MTL,C,68,82," "," "," "," ",26,34,8,248,5,16,4,47,777
35,"Nicklas Backstrom",WSH,C,67,82," "," "," "," ",18,60,5,153,3,33,0,91,862
36,"Ben Bishop",TBL,G,64,62,4,0.916,2.36,40," "," "," "," "," "," "," "," "," "
37,"Ryan Getzlaf",ANA,C,63,77," "," "," "," ",25,45,15,191,6,13,2,100,632
38,"Andrei Markov",MTL,D,63,81," "," "," "," ",10,40,22,135,1,25,1,53,0
39,"Sean Monahan",CGY,C,63,81," "," "," "," ",31,31,8,191,8,19,2,39,902
40,"Dennis Wideman",CGY,D,61,80," "," "," "," ",15,41,6,173,2,21,0,94,0
41,"Steven Stamkos",TBL,C,60,82," "," "," "," ",43,29,2,268,6,25,0,91,469
42,"Tuukka Rask",BOS,G,60,70,4,0.922,2.34,34," "," "," "," "," "," "," "," "," "
43,"Tyler Johnson",TBL,C,59,77," "," "," "," ",29,43,33,203,6,17,0,64,537
44,"Johnny Boychuk",NYI,D,58,72," "," "," "," ",9,26,15,192,1,15,1,171,2
45,"Jaroslav Halak",NYI,G,58,59,6,0.914,2.48,38," "," "," "," "," "," "," "," "," "
46,"Troy Brouwer",STL,RW,57,82," "," "," "," ",21,22,11,145,3,14,2,206,251
