Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
1,"Carey Price",MTL,G,198,59,0.925,2.21,98,18," "," "," "," "," "," "," "," "," "
2,"Tuukka Rask",BOS,G,191,58,0.927,2.13,89,16," "," "," "," "," "," "," "," "," "
3,"Alex Ovechkin",WSH,LW/RW,180,80," "," "," "," ",45,39,-9,388,9,39,0,226,1
4,"Jonathan Toews",CHI,C,131,79," "," "," "," ",26,45,33,205,6,15,4,42,793
5,"Henrik Lundqvist",NYR,G,127,55,0.923,2.22,86,11," "," "," "," "," "," "," "," "," "
6,"Claude Giroux",PHI,C/RW,127,81," "," "," "," ",22,57,-2,247,4,37,0,98,875
7,"Sidney Crosby",PIT,C,121,73," "," "," "," ",26,66,19,233,3,32,0,51,744
8,"Ben Bishop",TBL,G,116,52,0.921,2.25,87,11," "," "," "," "," "," "," "," "," "
9,"Ryan Getzlaf",ANA,C,115,76," "," "," "," ",24,55,22,190,5,19,2,115,560
10,"Braden Holtby",WSH,G,114,57,0.92,2.45,87,16," "," "," "," "," "," "," "," "," "
11,"Joe Pavelski",SJS,C/LW,114,82," "," "," "," ",31,39,14,236,5,28,1,74,550
12,"Cory Schneider",NJD,G,111,52,0.924,2.11,59,13," "," "," "," "," "," "," "," "," "
13,"Sergei Bobrovsky",CBJ,G,111,53,0.923,2.35,83,12," "," "," "," "," "," "," "," "," "
14,"Jamie Benn",DAL,LW,109,78," "," "," "," ",27,49,4,244,4,17,3,118,345
15,"Max Pacioretty",MTL,LW,106,76," "," "," "," ",30,34,22,284,7,15,2,90,3
16,"P.K. Subban",MTL,D,101,78," "," "," "," ",12,45,12,190,2,26,0,108,0
17,"Logan Couture",SJS,C/LW,96,76," "," "," "," ",24,38,8,252,5,19,3,52,401
18,"Patrice Bergeron",BOS,C,95,77," "," "," "," ",21,35,25,227,5,11,3,52,901
19,"Tyler Seguin",DAL,C/RW,94,77," "," "," "," ",30,45,15,285,5,23,0,53,192
20,"Dustin Byfuglien",WPG,RW/D,94,73," "," "," "," ",15,35,-6,234,2,21,0,191,0
21,"Shea Weber",NSH,D,94,79," "," "," "," ",16,34,5,214,2,19,0,173,0
22,"Jonathan Quick",LAK,G,92,57,0.914,2.2,81,13," "," "," "," "," "," "," "," "," "
23,"Rick Nash",NYR,LW/RW,89,73," "," "," "," ",29,29,21,284,7,10,3,39,3
24,"Chris Kunitz",PIT,LW,88,78," "," "," "," ",25,37,22,194,6,20,0,184,5
25,"Anze Kopitar",LAK,C,86,80," "," "," "," ",18,50,18,166,5,25,0,102,662
26,"Derek Stepan",NYR,C,85,77," "," "," "," ",17,43,24,180,3,13,5,46,555
27,"John Tavares",NYI,C,84,74," "," "," "," ",30,48,-2,247,5,27,0,41,589
28,"Oliver Ekman-Larsson",ARI,D,82,81," "," "," "," ",14,29,-7,217,4,20,0,145,0
29,"Drew Doughty",LAK,D,81,80," "," "," "," ",8,32,9,196,1,16,1,179,0
30,"Erik Karlsson",OTT,D,80,63," "," "," "," ",16,37,0,219,2,22,0,79,0
31,"Blake Wheeler",WPG,RW,79,81," "," "," "," ",24,42,10,231,4,15,2,142,14
32,"Duncan Keith",CHI,D,79,79," "," "," "," ",6,45,20,177,2,18,1,27,0
33,"Jaroslav Halak",NYI,G,78,44,0.915,2.28,73,14," "," "," "," "," "," "," "," "," "
34,"Nicklas Backstrom",WSH,C,77,82," "," "," "," ",15,64,-3,167,2,37,0,82,669
35,"Brent Burns",SJS,RW/D,75,67," "," "," "," ",16,31,6,211,2,14,0,129,22
36,"Ryan McDonagh",NYR,D,75,76," "," "," "," ",8,29,18,158,2,9,3,91,0
37,"Andrei Markov",MTL,D,74,81," "," "," "," ",9,38,10,133,2,26,1,47,0
38,"Marian Hossa",CHI,RW,72,74," "," "," "," ",23,35,25,230,4,14,3,45,2
39,"Mark Giordano",CGY,D,70,68," "," "," "," ",10,34,7,157,2,15,2,78,0
40,"Zdeno Chara",BOS,D,70,73," "," "," "," ",11,20,16,164,2,9,2,152,0
41,"Andrew Ladd",WPG,LW,68,80," "," "," "," ",22,41,10,204,4,14,1,180,20
42,"David Backes",STL,C/RW,67,78," "," "," "," ",20,35,10,174,2,14,0,255,570
43,"Tomas Plekanec",MTL,C,67,81," "," "," "," ",20,32,10,222,4,15,3,45,692
44,"Jeff Carter",LAK,C/RW,67,78," "," "," "," ",27,29,6,236,6,15,1,65,385
45,"Alexander Steen",STL,C/LW,66,70," "," "," "," ",22,37,12,217,6,19,1,40,192
46,"Henrik Zetterberg",DET,C/LW,66,67," "," "," "," ",15,49,6,220,3,26,1,38,354
47,"Patrick Kane",CHI,C/RW,66,70," "," "," "," ",26,48,11,218,5,25,0,19,3
48,"John Carlson",WSH,D,65,82," "," "," "," ",9,35,7,193,1,17,1,76,0
49,"Keith Yandle",NYR,D,65,83," "," "," "," ",8,44,-17,233,2,27,0,36,0
50,"Kevin Shattenkirk",STL,D,64,73," "," "," "," ",8,36,9,160,2,23,0,67,0
51,"Corey Perry",ANA,RW,64,74," "," "," "," ",30,37,21,233,5,14,0,75,6
52,"Kyle Turris",OTT,C,63,81," "," "," "," ",20,37,14,209,4,15,2,47,630
53,"Zach Parise",MIN,LW,61,74," "," "," "," ",27,34,13,270,4,19,0,85,5
54,"Patrick Marleau",SJS,C/LW,61,82," "," "," "," ",23,38,-8,258,4,24,1,81,135
55,"Pavel Datsyuk",DET,C/LW,60,62," "," "," "," ",19,41,13,159,4,20,1,45,508
56,"Brent Seabrook",CHI,D,59,81," "," "," "," ",8,27,12,151,1,12,1,158,0
57,"Aaron Ekblad",FLA,D,57,80," "," "," "," ",12,26,13,165,3,11,0,108,0
58,"Steven Stamkos",TBL,C,57,67," "," "," "," ",32,35,3,218,4,22,0,82,377
59,"Jakub Voracek",PHI,RW,56,82," "," "," "," ",22,51,2,226,3,29,0,36,4
60,"Johnny Boychuk",NYI,D,55,73," "," "," "," ",5,20,20,157,1,6,2,156,1
61,"Kris Letang",PIT,D,54,55," "," "," "," ",9,36,8,157,1,18,0,86,0
62,"Matt Duchene",COL,C/LW,54,77," "," "," "," ",20,45,0,215,5,13,0,56,549
63,"Roman Josi",NSH,D,53,78," "," "," "," ",11,33,4,181,2,13,1,44,0
64,"Bryan Little",WPG,C/RW,53,78," "," "," "," ",18,40,10,155,2,15,2,67,657
65,"Ryan Callahan",TBL,RW,53,73," "," "," "," ",19,28,8,194,3,14,2,205,14
66,"Alex Pietrangelo",STL,D,53,80," "," "," "," ",7,39,7,174,1,14,1,46,0
67,"Brad Marchand",BOS,LW,52,78," "," "," "," ",22,28,25,160,5,3,4,70,8
68,"Eric Staal",CAR,C,52,78," "," "," "," ",20,45,-7,242,3,14,2,64,533
69,"Phil Kessel",PIT,RW,52,82," "," "," "," ",27,48,-15,287,4,25,0,22,3
70,"Victor Hedman",TBL,D,52,69," "," "," "," ",9,35,7,141,1,9,2,76,0
71,"Matt Niskanen",WSH,D,51,77," "," "," "," ",6,29,17,131,3,10,0,120,0
72,"Ryan Suter",MIN,D,51,80," "," "," "," ",5,39,9,151,0,17,1,67,0
73,"Troy Brouwer",STL,RW,51,81," "," "," "," ",22,24,0,161,4,20,1,202,195
74,"James Neal",NSH,LW/RW,50,64," "," "," "," ",24,28,13,230,6,18,0,72,4
75,"Evgeni Malkin",PIT,C/RW,49,60," "," "," "," ",20,46,5,190,3,28,0,24,270
76,"Wayne Simmonds",PHI,LW/RW,49,78," "," "," "," ",24,31,-6,196,5,25,0,144,2
77,"Niklas Kronwall",DET,D,48,80," "," "," "," ",8,39,-3,108,1,25,0,87,0
78,"Ryan Johansen",CBJ,C/RW,48,77," "," "," "," ",21,34,-4,198,3,17,1,91,605
79,"Jarome Iginla",COL,RW,47,78," "," "," "," ",24,35,12,204,4,15,0,118,63
80,"Dion Phaneuf",TOR,D,46,77," "," "," "," ",7,27,-6,145,1,16,0,203,0
81,"Cody Franson",BUF,D,45,77," "," "," "," ",5,33,-9,119,0,18,0,225,0
82,"Justin Faulk",CAR,D,44,74," "," "," "," ",8,28,-12,174,1,12,2,117,0
83,"Pekka Rinne",NSH,G,44,48,0.915,2.32,66,11," "," "," "," "," "," "," "," "," "
84,"Jason Garrison",TBL,D,43,77," "," "," "," ",6,25,16,150,2,12,1,54,0
85,"Mike Green",DET,D,42,67," "," "," "," ",10,31,-2,162,2,17,0,68,0
86,"Jake Muzzin",LAK,D,42,76," "," "," "," ",7,24,8,164,1,10,0,164,0
87,"Mikko Koivu",MIN,C,41,75," "," "," "," ",12,42,2,177,4,18,1,47,740
88,"Milan Lucic",LAK,LW,40,79," "," "," "," ",16,34,20,143,3,9,0,242,37
89,"Alex Goligoski",DAL,D,39,81," "," "," "," ",4,37,5,132,0,13,1,96,0
90,"Marek Zidlicky",DET,D,39,82," "," "," "," ",8,29,-9,139,1,18,1,105,0
91,"Daniel Sedin",VAN,LW,39,78," "," "," "," ",16,46,6,228,4,21,0,28,4
92,"Jack Johnson",CBJ,D,39,79," "," "," "," ",6,29,-9,147,1,18,0,155,0
93,"Mark Streit",PHI,D,38,81," "," "," "," ",8,39,-7,134,1,22,0,53,0
94,"James van Riemsdyk",TOR,LW,37,81," "," "," "," ",24,33,-18,257,3,16,2,99,30
95,"Dennis Wideman",CGY,D,34,68," "," "," "," ",8,31,-8,146,1,15,1,78,0
96,"Francois Beauchemin",COL,D,33,72," "," "," "," ",7,18,25,112,1,5,1,118,0
97,"Roberto Luongo",FLA,G,32,48,0.918,2.36,61,9," "," "," "," "," "," "," "," "," "
98,"Joe Thornton",SJS,C,32,80," "," "," "," ",11,59,9,131,1,24,0,45,525
99,"James Wisniewski",CAR,D,32,65," "," "," "," ",7,30,-6,140,1,18,0,100,0
100,"Gabriel Landeskog",COL,LW,32,75," "," "," "," ",19,34,5,205,2,11,1,161,12
